
> travel-web@2.6.0 audit:wiki-images
> node scripts/audit-wiki-images.js

entity_type,entity_id,entity_name,wiki_title,api_thumb_url,has_direct_url,direct_url,api_status,direct_status
theme,imperial,帝都传奇,Gate of Supreme Harmony,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Gate_of_Supreme_Harmony_20160826-4.jpg/960px-Gate_of_Supreme_Harmony_20160826-4.jpg,no,,ok,
theme,ancient,古代奇迹,Great Pyramid of Giza,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Great_Pyramid_of_Giza_-_Pyramid_of_Khufu.jpg/960px-Great_Pyramid_of_Giza_-_Pyramid_of_Khufu.jpg,no,,ok,
theme,silk-road,丝绸之路,Mogao Caves,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Mogao_Caves_%2854376969262%29.jpg/960px-Mogao_Caves_%2854376969262%29.jpg,no,,ok,
theme,maritime,海洋文明,Lighthouse of Alexandria,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Lighthouse_-_Thiersch.png/960px-Lighthouse_-_Thiersch.png,no,,ok,
theme,religion,信仰之城,Dome of the Rock,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Jerusalem-2013%282%29-Temple_Mount-Dome_of_the_Rock_%28SE_exposure%29.jpg/960px-Jerusalem-2013%282%29-Temple_Mount-Dome_of_the_Rock_%28SE_exposure%29.jpg,no,,ok,
theme,renaissance,文明复兴,Florence Cathedral,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Cattedrale_di_Santa_Maria_del_Fiore_%E2%80%93_Il_Duomo_di_Firenze.jpg/960px-Cattedrale_di_Santa_Maria_del_Fiore_%E2%80%93_Il_Duomo_di_Firenze.jpg,no,,ok,
city,beijing,北京,Forbidden City,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/The_Forbidden_City_-_View_from_Coal_Hill.jpg/960px-The_Forbidden_City_-_View_from_Coal_Hill.jpg,no,,ok,
landmark,beijing/故宫（紫禁城）,故宫（紫禁城）,Hall of Supreme Harmony,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Hall_of_Supreme_Harmony_%2820241127120000%29.jpg/960px-Hall_of_Supreme_Harmony_%2820241127120000%29.jpg,no,,ok,
landmark,beijing/长城（八达岭段）,长城（八达岭段）,Great Wall of China,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/The_Great_Wall_of_China_at_Jinshanling-edit.jpg/960px-The_Great_Wall_of_China_at_Jinshanling-edit.jpg,no,,ok,
landmark,beijing/天坛,天坛,Temple of Heaven,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Temple_of_Heaven_20160323_01.jpg/960px-Temple_of_Heaven_20160323_01.jpg,no,,ok,
landmark,beijing/颐和园,颐和园,Summer Palace,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Longevity_Hill_of_the_Summer_Palace.jpg/960px-Longevity_Hill_of_the_Summer_Palace.jpg,no,,ok,
city,rome,罗马,Rome,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Trevi_Fountain%2C_Rome%2C_Italy_2_-_May_2007.jpg/960px-Trevi_Fountain%2C_Rome%2C_Italy_2_-_May_2007.jpg,no,,ok,
landmark,rome/科洛塞姆（斗兽场）,科洛塞姆（斗兽场）,Colosseum,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Colosseo_2020.jpg/960px-Colosseo_2020.jpg,no,,ok,
landmark,rome/万神殿（Pantheon）,万神殿（Pantheon）,"Pantheon, Rome",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Pantheon_%28Rome%29_-_Right_side_and_front.jpg/960px-Pantheon_%28Rome%29_-_Right_side_and_front.jpg,no,,ok,
